Provider Number	Hospital Name
010001	SOUTHEAST ALABAMA MEDICAL CENTER
010005	MARSHALL MEDICAL CENTER SOUTH
010006	ELIZA COFFEE MEMORIAL HOSPITAL
010007	MIZELL MEMORIAL HOSPITAL
010008	CRENSHAW COMMUNITY HOSPITAL
010011	ST VINCENT'S EAST
010012	DEKALB REGIONAL MEDICAL CENTER
010016	SHELBY BAPTIST MEDICAL CENTER
010018	CALLAHAN EYE HOSPITAL
010019	HELEN KELLER MEMORIAL HOSPITAL
010021	DALE MEDICAL CENTER
010022	CHEROKEE MEDICAL CENTER
010023	BAPTIST MEDICAL CENTER SOUTH
010024	JACKSON HOSPITAL & CLINIC INC
010025	GEORGE H. LANIER MEMORIAL HOSPITAL
010029	EAST ALABAMA MEDICAL CENTER AND SNF
010032	WEDOWEE HOSPITAL
010033	UNIVERSITY OF ALABAMA HOSPITAL
010034	COMMUNITY HOSPITAL INC
010035	CULLMAN REGIONAL MEDICAL CENTER
010036	ANDALUSIA REGIONAL HOSPITAL
010038	STRINGFELLOW MEMORIAL HOSPITAL
010039	HUNTSVILLE HOSPITAL
010040	GADSDEN REGIONAL MEDICAL CENTER
010044	MARION REGIONAL MEDICAL CENTER
010045	FAYETTE MEDICAL CENTER
010046	RIVERVIEW REGIONAL MEDICAL CENTER
010047	GEORGIANA MEDICAL CENTER
010049	MEDICAL CENTER ENTERPRISE
010050	ST VINCENTS BLOUNT
010051	GREENE COUNTY HOSPITAL
010052	LAKE MARTIN COMMUNITY HOSPITAL
010054	PARKWAY MEDICAL CENTER
010055	FLOWERS HOSPITAL
010056	ST VINCENT'S BIRMINGHAM
010058	BIBB MEDICAL CENTER
010059	LAWRENCE MEDICAL CENTER
010061	HIGHLANDS MEDICAL CENTER
010062	WIREGRASS MEDICAL CENTER
010065	RUSSELL HOSPITAL
010066	FLORALA MEMORIAL HOSPITAL
010069	MEDICAL CENTER BARBOUR
010073	CLAY COUNTY HOSPITAL
010078	NORTHEAST ALABAMA REGIONAL MED CENTER
010079	ATHENS-LIMESTONE HOSPITAL
010083	SOUTH BALDWIN REGIONAL MEDICAL CENTER
010085	DECATUR MORGAN HOSPITAL-DECATUR CAMPUS
010086	NORTHWEST MEDICAL CENTER
010087	UNIV OF SOUTH ALABAMA MEDICAL CENTER
010089	WALKER BAPTIST MEDICAL CENTER
010090	PROVIDENCE HOSPITAL
010091	GROVE HILL MEMORIAL HOSPITAL
010092	D C H REGIONAL MEDICAL CENTER
010095	HALE COUNTY HOSPITAL
010097	ELMORE COMMUNITY HOSPITAL
010099	D W MCMILLAN MEMORIAL HOSPITAL
010100	THOMAS HOSPITAL
010101	CITIZENS BAPTIST MEDICAL CENTER
010102	J PAUL JONES HOSPITAL
010103	BAPTIST MEDICAL CENTER-PRINCETON
010104	TRINITY MEDICAL CENTER
010108	PRATTVILLE BAPTIST HOSPITAL
010109	PICKENS COUNTY MEDICAL CENTER
010110	BULLOCK COUNTY HOSPITAL
010112	BRYAN W WHITFIELD MEM HOSP INC
010113	MOBILE INFIRMARY
010114	MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM
010118	VAUGHAN REG MED CENTER PARKWAY CAMPUS
010120	MONROE COUNTY HOSPITAL
010125	LAKELAND COMMUNITY HOSPITAL
010126	TROY REGIONAL MEDICAL CENTER
010128	JACKSON MEDICAL CENTER
010129	NORTH BALDWIN INFIRMARY
010130	ST VINCENT'S ST CLAIR
010131	CRESTWOOD MEDICAL CENTER
010138	HILL HOSPITAL OF SUMTER COUNTY
010139	BROOKWOOD MEDICAL CENTER
010144	SPRINGHILL MEDICAL CENTER
010146	JACKSONVILLE MEDICAL CENTER
010148	EVERGREEN MEDICAL CENTER
010149	BAPTIST MEDICAL CENTER EAST
01014F	BIRMINGHAM VA MEDICAL CENTER
010150	L V STABLER MEMORIAL HOSPITAL
010157	SHOALS HOSPITAL
010158	RUSSELLVILLE HOSPITAL
010164	COOSA VALLEY MEDICAL CENTER
010168	JACK HUGHSTON MEMORIAL HOSPITAL
010169	ATMORE COMMUNITY HOSPITAL
01019F	VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY
01021F	TUSCALOOSA VA MEDICAL CENTER
011300	WASHINGTON COUNTY HOSPITAL
011302	RED BAY HOSPITAL
011304	CHOCTAW GENERAL HOSPITAL
013301	UNIV OF S AL CHILDREN'S & WOMEN'S HOS
020001	PROVIDENCE ALASKA MEDICAL CENTER
020006	MAT-SU REGIONAL MEDICAL CENTER
020008	BARTLETT REGIONAL HOSPITAL
020012	FAIRBANKS MEMORIAL HOSPITAL
020017	ALASKA REGIONAL HOSPITAL
020018	YUKON KUSKOKWIM DELTA REG HOSPITAL
020024	CENTRAL PENINSULA GENERAL HOSPITAL
020026	ALASKA NATIVE MEDICAL CENTER
020027	MT EDGECUMBE HOSPITAL
021301	PROVIDENCE VALDEZ MEDICAL CENTER
021302	PROVIDENCE SEWARD HOSPITAL
021303	SITKA COMMUNITY HOSPITAL
021304	PETERSBURG MEDICAL CENTER
021305	WRANGELL MEDICAL CENTER
021306	PROVIDENCE KODIAK ISLAND MEDICAL CTR
021307	CORDOVA COMMUNITY MEDICAL CENTER
021308	NORTON SOUND REGIONAL HOSPITAL
021309	KANAKANAK HOSPITAL
021311	 KETCHIKAN MEDICAL CENTER
021312	SAMUEL SIMMONDS MEMORIAL HOSPITAL
021313	SOUTH PENINSULA HOSPITAL
030001	MARYVALE HOSPITAL
030002	BANNER GOOD SAMARITAN MEDICAL CENTER
030006	TUCSON MEDICAL CENTER
030007	VERDE VALLEY MEDICAL CENTER
030010	CARONDELET ST  MARYS HOSPITAL
030011	CARONDELET ST JOSEPH'S HOSPITAL
030012	YAVAPAI REGIONAL MEDICAL CENTER
030013	YUMA REGIONAL MEDICAL CENTER
030014	JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL
030016	CASA GRANDE REGIONAL MEDICAL CENTER
030022	MARICOPA MEDICAL CENTER
030023	FLAGSTAFF MEDICAL CENTER
030024	ST JOSEPH'S HOSPITAL AND MEDICAL CENTER
030030	PHOENIX BAPTIST HOSPITAL
